complex,affinity
2tpi,2.1
4tln,2.3
1rnt,1.9
4ts1,2.5
4tmn,1.7
2tmn,1.6
1tlp,2.3
1tmn,1.9
5tmn,1.6
1rbp,2
1fkf,1.7
4er1,2
5er2,1.8
4er2,2
2ypi,2.5
6cpa,2
4sga,1.8
5er1,2
4tim,2.4
1igj,2.5
1fkb,1.7
1l83,1.7
1atr,2.34
6rnt,1.8
3gst,1.9
1cps,2.25
2gst,1.8
1ppm,1.7
1hos,2.3
1ppl,1.7
1bcd,1.9
1ivp,2.5
1trd,2.5
1hsl,1.89
1lst,1.8
1tys,1.8
1adl,1.6
1mfd,2.1
2cgr,2.2
1srg,1.8
1erb,1.9
1tni,1.9
2ctc,1.4
1add,2.4
1elc,1.75
1wht,2
2sim,1.6
1tnh,1.8
1ela,2
1cbx,2
1ppc,1.8
1hps,2.3
1azm,2
1tng,1.8
1pph,1.9
1fki,2.2
1fkg,2
1hvl,1.8
1epo,2
1hvk,1.8
1hvi,1.8
1sbg,2.3
1apv,1.8
1ppk,1.8
2cht,2.2
1aaq,2.5
1hvj,2
1elb,2.1
8cpa,2
1fkh,1.95
1siv,2.5
1drj,2.5
2dri,1.6
1drk,2
1flr,1.85
1hmr,1.4
1hms,1.4
1hmt,1.4
1cny,2.3
1laf,2.06
186l,1.8
1cnw,2
184l,1.8
1yda,2.1
185l,1.8
1pgp,2.5
1lah,2.06
187l,1.8
1cnx,1.9
188l,1.8
1ydb,1.9
1lag,2.06
1ydd,2.1
2gyi,1.6
1cgl,2.4
1ele,2
1fpc,2.3
1eld,2
1lcp,1.65
1pdz,2.2
1hvr,1.8
1atl,1.8
1tpw,1.9
1hpv,1.9
1ctu,2.3
1gar,1.96
1bty,1.5
1fiv,2
1bma,1.8
1ctt,2.2
1hbv,2.3
1hvs,2.25
1hii,2.3
1lan,1.9
1ppi,2.2
1hih,2.2
1nja,2.5
1gaf,1.95
1tsy,2.2
1dar,2.4
1lkk,1
1lkl,1.8
1nje,2.3
1str,1.8
1ceb,2.07
1njd,2.2
1njc,2.5
1mai,1.9
1sld,2.5
2olb,1.4
1pot,1.8
1det,1.8
1kel,1.9
1mmq,1.9
1grp,2.5
1sln,2.27
1hsh,1.9
1igb,2.3
1jao,2.4
1gai,1.7
1tcx,2.3
1dud,2.3
1gno,2.3
1gnn,2.3
1dif,1.7
1jaq,2.4
2csn,2.5
1mtr,1.75
1hpx,2
1gnm,2.3
1pro,1.8
1rnm,2
1tcw,2.4
1fkw,2.4
1avn,2
1drv,2.2
1okl,2.1
1jev,1.3
1aj7,2.1
1jeu,1.25
1ado,1.9
2h4n,1.9
2mas,2.3
1jet,1.2
1uvt,2.5
1qbt,2.1
1qbr,1.8
1ajq,2.05
1qbu,1.8
1hxb,2.3
1ai5,2.36
1dmp,2
1qbs,1.8
1hpo,2.5
1yds,2.2
3gss,1.9
2gss,1.9
1ajx,2
2rkm,1.8
3aid,2.5
1aid,2.2
1ajv,2
1ajn,2.36
1vfn,2.15
1ydr,2.2
1ai4,2.35
7upj,2
6upj,2.34
1ydt,2.3
1ajp,2.31
1amk,1.83
1tom,1.8
5upj,2.3
2jxr,2.4
1b7h,2
1b6h,1.8
1a4k,2.4
3pcj,2.13
1b1h,1.8
1b0h,1.9
1b38,2
3pck,2.13
1bcu,2
1wdn,1.94
1b3h,2
1a9q,2
1ax0,1.9
1jmg,2.2
1b5h,1.9
1yet,1.9
1jmf,2.5
1b3l,2
1b3f,1.8
1a1e,2.2
2izl,1.48
1b3g,2
4tmk,1.98
3pcn,2.4
1amw,1.85
1b2h,1.9
1a99,2.2
1b4h,1.9
1bm7,2
5tmp,1.98
1bhf,1.8
1swg,1.8
4rsk,2.1
1b05,2
1b32,1.75
1usn,1.8
2qwe,2
1bv7,2
1xug,1.5
